dial,roster_profile,treatment_value,best_of,series,expected_fit_edge,control_win_rate,treatment_win_rate,series_win_lift_pp,series_win_lift_ci_low,series_win_lift_ci_high,rounds_won_added_per_map,rounds_won_added_ci_low,rounds_won_added_ci_high,round_margin_added_per_map,round_margin_added_ci_low,round_margin_added_ci_high
pace,balanced,0.0,5,100,0.6666666666666665,0.47,0.52,5.0,-5.5622732478201,15.5622732478201,0.10199999999999995,-0.2188655867864898,0.42286558678648967,0.31200000000000006,-0.17062543028269395,0.7946254302826941
pace,balanced,100.0,3,100,0.6666666666666665,0.54,0.4,-14.000000000000002,-27.366143872493744,-0.6338561275062613,-0.13666666666666663,-0.5802743676965507,0.3069410343632175,-0.4233333333333333,-1.09999807546458,0.2533314087979133
pace,balanced,100.0,5,100,0.6666666666666665,0.47,0.39,-8.0,-20.358507314004513,4.3585073140045125,-0.048000000000000084,-0.40319490614238124,0.30719490614238104,-0.33199999999999996,-0.8626599569546881,0.1986599569546882
pace,fraggers,0.0,3,100,1.1666666666666667,0.48,0.6,12.0,0.759628317730968,23.240371682269032,0.23666666666666664,-0.1311949818005514,0.6045283151338847,0.78,0.2522256639771978,1.3077743360228022
pace,fraggers,0.0,5,100,1.1666666666666667,0.44,0.48,4.0,-7.115397637802467,15.115397637802467,0.09399999999999985,-0.20910237398468456,0.3971023739846843,0.48200000000000004,0.0264487326459526,0.9375512673540475
pace,fraggers,100.0,3,100,1.1666666666666667,0.48,0.44,-4.0,-14.760634580063416,6.7606345800634156,-0.24666666666666676,-0.6349778852968129,0.14164455196347941,-0.20333333333333328,-0.796545333033359,0.38987866636669244
pace,fraggers,100.0,5,100,1.1666666666666667,0.44,0.39,-5.0,-17.87972331718631,7.879723317186311,-0.17600000000000005,-0.46536532218081716,0.11336532218081707,-0.22399999999999995,-0.6844040425627047,0.23640404256270484
pace,mixed,0.0,3,100,0.21666666666666667,0.54,0.46,-8.0,-20.040427523534824,4.040427523534824,-0.0733333333333333,-0.4166143181300561,0.2699476514633895,-0.003333333333333308,-0.5727064698787174,0.5660398032120508
pace,mixed,0.0,5,100,0.21666666666666667,0.42,0.47,5.0,-6.612236666725337,16.612236666725337,-0.13000000000000006,-0.4172168335856196,0.1572168335856195,-0.10800000000000003,-0.5698225245894594,0.3538225245894593
pace,mixed,100.0,3,100,0.21666666666666667,0.54,0.39,-15.0,-26.612236666725337,-3.3877633332746626,-0.8066666666666668,-1.2975286604335539,-0.31580467289977965,-0.9733333333333333,-1.7328457690593368,-0.2138208976073298
pace,mixed,100.0,5,100,0.21666666666666667,0.42,0.4,-2.0,-13.136324040333648,9.136324040333648,-0.7260000000000001,-1.0932916794070024,-0.3587083205929978,-0.95,-1.4792879837073287,-0.4207120162926711
pace,tacticians,0.0,3,100,-0.41666666666666674,0.51,0.42,-9.0,-19.081060550268596,1.0810605502685977,-0.08,-0.44912822319993156,0.28912822319993153,-0.08666666666666663,-0.6686317766779822,0.49529844334464895
pace,tacticians,0.0,5,100,-0.41666666666666674,0.48,0.43,-5.0,-15.5622732478201,5.5622732478201,-0.176,-0.4930594240322731,0.14105942403227312,-0.22599999999999998,-0.6866189130009117,0.2346189130009117
pace,tacticians,100.0,3,100,-0.41666666666666674,0.51,0.39,-12.0,-22.88968077928584,-1.1103192207141603,-0.48999999999999994,-0.9311086310898911,-0.04889136891010876,-0.9333333333333332,-1.5743416579893699,-0.2923250086772966
pace,tacticians,100.0,5,100,-0.41666666666666674,0.48,0.37,-11.0,-20.19532511879836,-1.8046748812016418,-0.428,-0.7340867459008338,-0.12191325409916615,-0.9059999999999999,-1.3757546381082812,-0.4362453618917186
util_discipline,balanced,0.0,3,100,0.6666666666666665,0.54,0.6,6.0,-0.11613398720915313,12.116133987209153,0.28333333333333327,0.12728995682046954,0.43937670984619703,0.39333333333333337,0.1534396509337778,0.633227015732889
util_discipline,balanced,0.0,5,100,0.6666666666666665,0.47,0.51,4.0,-2.1792536570022563,10.179253657002256,0.26199999999999996,0.1365828935032377,0.3874171064967622,0.34600000000000003,0.17079367734299689,0.5212063226570032
