context,factor,low_level,high_level,matches_per_level,weak_win_effect,weak_win_ci_low,weak_win_ci_high,weak_win_seed_clusters,weak_round_margin_effect,weak_round_margin_ci_low,weak_round_margin_ci_high,weak_round_margin_seed_clusters,weak_score_effect,weak_score_ci_low,weak_score_ci_high,weak_score_seed_clusters,strong_score_effect,strong_score_ci_low,strong_score_ci_high,strong_score_seed_clusters,rounds_won_added,rounds_won_added_ci_low,rounds_won_added_ci_high,opponent_rounds_denied,opponent_rounds_denied_ci_low,opponent_rounds_denied_ci_high,margin_reconciliation_error,seed_block_sign_agreement,baseline_level,treatment_level,weak_win_effect_pp
equal_75v75_core,counter_edge,0,-3,450,-0.11777777777777776,-0.15184561900013138,-0.08370993655542414,45,-1.6111111111111112,-1.9102594711647582,-1.311962751057464,45,-0.8155555555555556,-1.0664222791870799,-0.5646888319240312,45,0.7955555555555555,0.5761854481697191,1.0149256629413919,45,-0.8155555555555556,-1.0664222791870799,-0.5646888319240312,-0.7955555555555555,-1.0149256629413919,-0.5761854481697191,-1.1102230246251565e-16,1.0,0,-3,-11.777777777777775
equal_75v75_core,counter_edge,0,3,450,0.11777777777777776,0.08370993655542414,0.15184561900013138,45,1.6111111111111112,1.311962751057464,1.9102594711647582,45,0.7955555555555555,0.5761854481697191,1.0149256629413919,45,-0.8155555555555556,-1.0664222791870799,-0.5646888319240312,45,0.7955555555555555,0.5761854481697191,1.0149256629413919,0.8155555555555556,0.5646888319240312,1.0664222791870799,1.1102230246251565e-16,1.0,0,3,11.777777777777775
equal_75v75_core,focus_target,none,captain,450,0.0,-0.015689615288018398,0.015689615288018398,45,0.024444444444444435,-0.1451625894752489,0.19405147836413777,45,0.0311111111111111,-0.08591810377423598,0.14814032599645818,45,0.006666666666666659,-0.11610728812106777,0.12944062145440108,45,0.0311111111111111,-0.08591810377423598,0.14814032599645818,-0.006666666666666659,-0.12944062145440108,0.11610728812106777,-5.204170427930421e-18,0.3333333333333333,none,captain,0.0
equal_75v75_core,focus_target,none,highest_id,450,0.0022222222222222222,-0.014094083657652124,0.01853852810209657,45,-0.006666666666666668,-0.17714765160558243,0.16381431827224907,45,-0.03777777777777778,-0.1672034562126726,0.09164790065711706,45,-0.03111111111111111,-0.14778922585727391,0.08556700363505168,45,-0.03777777777777778,-0.1672034562126726,0.09164790065711706,0.03111111111111111,-0.08556700363505168,0.14778922585727391,0.0,0.3333333333333333,none,highest_id,0.2222222222222222
equal_75v75_core,form,50,20,450,-0.1488888888888889,-0.1806722844430849,-0.11710549333469292,45,-1.9866666666666668,-2.26369687878669,-1.7096364545466436,45,-0.9533333333333335,-1.2159958002920814,-0.6906708663745855,45,1.0333333333333334,0.8199314936999464,1.2467351729667204,45,-0.9533333333333335,-1.2159958002920814,-0.6906708663745855,-1.0333333333333334,-1.2467351729667204,-0.8199314936999464,2.220446049250313e-16,1.0,50,20,-14.888888888888891
equal_75v75_core,form,50,80,450,0.1488888888888889,0.11710549333469292,0.1806722844430849,45,1.9866666666666668,1.7096364545466436,2.26369687878669,45,1.0333333333333334,0.8199314936999464,1.2467351729667204,45,-0.9533333333333335,-1.2159958002920814,-0.6906708663745855,45,1.0333333333333334,0.8199314936999464,1.2467351729667204,0.9533333333333335,0.6906708663745855,1.2159958002920814,-1.1102230246251565e-16,1.0,50,80,14.888888888888891
equal_75v75_core,halftime_talk,none,challenge,450,-0.006666666666666666,-0.02829330886982523,0.014959975536491898,45,-0.12000000000000001,-0.3030380402956921,0.06303804029569206,45,-0.024444444444444446,-0.15573749065167522,0.10684860176278634,45,0.09555555555555555,-0.05492788914275769,0.24603900025386877,45,-0.024444444444444446,-0.15573749065167522,0.10684860176278634,-0.09555555555555555,-0.24603900025386877,0.05492788914275769,-1.3877787807814457e-17,0.6666666666666666,none,challenge,-0.6666666666666666
equal_75v75_core,halftime_talk,none,demand_more,450,-0.17777777777777776,-0.22977052451842636,-0.12578503103712915,45,-2.8200000000000003,-3.439345783215798,-2.2006542167842027,45,-1.6777777777777778,-2.1175485278844,-1.2380070276711557,45,1.1422222222222222,0.8681782726175724,1.416266171826872,45,-1.6777777777777778,-2.1175485278844,-1.2380070276711557,-1.1422222222222222,-1.416266171826872,-0.8681782726175724,-2.220446049250313e-16,1.0,none,demand_more,-17.777777777777775
equal_75v75_core,halftime_talk,none,reassure,450,0.14222222222222222,0.10300399540130734,0.1814404490431371,45,1.9777777777777779,1.5295062720607118,2.426049283494844,45,0.8444444444444444,0.6052480771830169,1.083640811705872,45,-1.1333333333333333,-1.4586170627957946,-0.8080496038708719,45,0.8444444444444444,0.6052480771830169,1.083640811705872,1.1333333333333333,0.8080496038708719,1.4586170627957946,0.0,1.0,none,reassure,14.222222222222221
equal_75v75_core,map_mastery,75,25,450,-0.07333333333333333,-0.100808831852022,-0.04585783481464467,45,-0.9844444444444446,-1.2439922541588864,-0.7248966347300029,45,-0.5533333333333333,-0.7507150957805282,-0.3559515708861385,45,0.43111111111111106,0.24748873210623482,0.6147334901159873,45,-0.5533333333333333,-0.7507150957805282,-0.3559515708861385,-0.43111111111111106,-0.6147334901159873,-0.24748873210623482,-1.6653345369377348e-16,1.0,75,25,-7.333333333333333
equal_75v75_core,map_mastery,75,50,450,-0.04888888888888889,-0.07164534241711783,-0.026132435360659952,45,-0.6266666666666667,-0.856400355051202,-0.39693297828213137,45,-0.29777777777777775,-0.48192076293330416,-0.11363479262225135,45,0.32888888888888884,0.2098092528260566,0.44796852495172107,45,-0.29777777777777775,-0.48192076293330416,-0.11363479262225135,-0.32888888888888884,-0.44796852495172107,-0.2098092528260566,-1.1102230246251565e-16,1.0,75,50,-4.888888888888889
equal_75v75_core,map_mastery,75,95,450,0.042222222222222223,0.02249143786101062,0.06195300658343383,45,0.5288888888888889,0.32607143209984457,0.7317063456779331,45,0.29777777777777775,0.16895579846522027,0.42659975709033526,45,-0.23111111111111113,-0.3886364923343688,-0.07358572988785345,45,0.29777777777777775,0.16895579846522027,0.42659975709033526,0.23111111111111113,0.07358572988785345,0.3886364923343688,-2.7755575615628914e-17,1.0,75,95,4.222222222222222
equal_75v75_core,morale,50,20,450,-0.08888888888888889,-0.11908356758895251,-0.05869421018882527,45,-1.1844444444444446,-1.4623142460476504,-0.906574642841239,45,-0.6244444444444444,-0.8457881219680426,-0.40310076692084607,45,0.5599999999999999,0.34274933921079465,0.7772506607892052,45,-0.6244444444444444,-0.8457881219680426,-0.40310076692084607,-0.5599999999999999,-0.7772506607892052,-0.34274933921079465,-3.3306690738754696e-16,1.0,50,20,-8.88888888888889
equal_75v75_core,morale,50,80,450,0.08888888888888889,0.05869421018882527,0.11908356758895251,45,1.1844444444444446,0.906574642841239,1.4623142460476504,45,0.5599999999999999,0.34274933921079465,0.7772506607892052,45,-0.6244444444444444,-0.8457881219680426,-0.40310076692084607,45,0.5599999999999999,0.34274933921079465,0.7772506607892052,0.6244444444444444,0.40310076692084607,0.8457881219680426,3.3306690738754696e-16,1.0,50,80,8.88888888888889
equal_75v75_core,prep_edge,0,0.75,450,0.017777777777777778,-0.010353552864807655,0.04590910842036321,45,0.25111111111111106,-0.028059881198863545,0.5302821034210856,45,0.12666666666666668,-0.05488597951051835,0.30821931284385173,45,-0.12444444444444445,-0.3315191899362624,0.0826303010473735,45,0.12666666666666668,-0.05488597951051835,0.30821931284385173,0.12444444444444445,-0.0826303010473735,0.3315191899362624,-6.938893903907228e-17,0.6666666666666666,0,0.75,1.7777777777777777
equal_75v75_core,prep_edge,0,1.5,450,0.042222222222222223,0.00863954908313614,0.0758048953613083,45,0.5333333333333332,0.1976831134677186,0.8689835531989478,45,0.15555555555555553,-0.060098720771212144,0.3712098318823232,45,-0.37777777777777777,-0.6309183382046251,-0.12463721735093042,45,0.15555555555555553,-0.060098720771212144,0.3712098318823232,0.37777777777777777,0.12463721735093042,0.6309183382046251,-1.1102230246251565e-16,1.0,0,1.5,4.222222222222222
equal_75v75_core,stamina,100,40,450,-0.19333333333333333,-0.22746801362567673,-0.15919865304098993,45,-2.9333333333333327,-3.2927705146351283,-2.573896152031537,45,-1.7155555555555557,-2.0234050760990745,-1.4077060350120372,45,1.2177777777777776,0.9757056997122636,1.4598498558432915,45,-1.7155555555555557,-2.0234050760990745,-1.4077060350120372,-1.2177777777777776,-1.4598498558432915,-0.9757056997122636,6.661338147750939e-16,1.0,100,40,-19.333333333333332
equal_75v75_core,stamina,100,70,450,-0.11777777777777776,-0.15184561900013138,-0.08370993655542414,45,-1.6111111111111112,-1.9102594711647582,-1.311962751057464,45,-0.8155555555555556,-1.0664222791870799,-0.5646888319240312,45,0.7955555555555555,0.5761854481697191,1.0149256629413919,45,-0.8155555555555556,-1.0664222791870799,-0.5646888319240312,-0.7955555555555555,-1.0149256629413919,-0.5761854481697191,-1.1102230246251565e-16,1.0,100,70,-11.777777777777775
